"Bronnen";"Perioden";"Emissies/Emissie CO/Totaal (mln kg)";"Emissies/Emissie CO/Bebouwde kom (mln kg)";"Emissies/Emissie CO/Buitenwegen (mln kg)";"Emissies/Emissie CO/Autosnelwegen (mln kg)";"Emissies/Emissie VOS totaal/Totaal (mln kg)";"Emissies/Emissie VOS totaal/Bebouwde kom (mln kg)";"Emissies/Emissie VOS totaal/Buitenwegen (mln kg)";"Emissies/Emissie VOS totaal/Autosnelwegen (mln kg)";"Emissies/Emissie VOS door verbranding/Totaal (mln kg)";"Emissies/Emissie VOS door verbranding/Bebouwde kom (mln kg)";"Emissies/Emissie VOS door verbranding/Buitenwegen (mln kg)";"Emissies/Emissie VOS door verbranding/Autosnelwegen (mln kg)";"Emissies/Emissie NOx/Totaal (mln kg)";"Emissies/Emissie NOx/Bebouwde kom (mln kg)";"Emissies/Emissie NOx/Buitenwegen (mln kg)";"Emissies/Emissie NOx/Autosnelwegen (mln kg)";"Emissies/Emissie PM10 door verbranding/Totaal (mln kg)";"Emissies/Emissie PM10 door verbranding/Bebouwde kom (mln kg)";"Emissies/Emissie PM10 door verbranding/Buitenwegen (mln kg)";"Emissies/Emissie PM10 door verbranding/Autosnelwegen (mln kg)";"Emissies/Emissie SO2/Totaal (mln kg)";"Emissies/Emissie SO2/Bebouwde kom (mln kg)";"Emissies/Emissie SO2/Buitenwegen (mln kg)";"Emissies/Emissie SO2/Autosnelwegen (mln kg)";"Emissies/Emissie CO2/Totaal (mln kg)";"Emissies/Emissie CO2/Bebouwde kom (mln kg)";"Emissies/Emissie CO2/Buitenwegen (mln kg)";"Emissies/Emissie CO2/Autosnelwegen (mln kg)";"Emissies/Emissie N2O/Totaal (mln kg)";"Emissies/Emissie N2O/Bebouwde kom (mln kg)";"Emissies/Emissie N2O/Buitenwegen (mln kg)";"Emissies/Emissie N2O/Autosnelwegen (mln kg)";"Emissies/Emissie CH4/Totaal (mln kg)";"Emissies/Emissie CH4/Bebouwde kom (mln kg)";"Emissies/Emissie CH4/Buitenwegen (mln kg)";"Emissies/Emissie CH4/Autosnelwegen (mln kg)";"Parkemissiefactoren/Parkemissiefactoren CO/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren VOS-verbranding/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren VOS-verbranding/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren VOS-verbranding/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren VOS-verbranding/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren NOx/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren NOx/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren NOx/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren NOx/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren PM10-verbranding/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren PM10-verbranding/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren PM10-verbranding/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren PM10-verbranding/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren SO2/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren SO2/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren SO2/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren SO2/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO2/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO2/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO2/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO2/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren N2O/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren N2O/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren N2O/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren N2O/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CH4/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CH4/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CH4/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CH4/Autosnelwegen (gram/km)"
"Bromfietsen";"2014";"    29.7";"    21.8";"     8.0";"";"    7.97";"    6.27";"    1.70";"";"    7.62";"    5.96";"    1.66";"";"    0.23";"    0.16";"    0.07";"";"    0.09";"    0.07";"    0.03";"";"    0.00";"    0.00";"    0.00";"";"     214";"     149";"      65";"";"    0.00";"    0.00";"    0.00";"";"    0.38";"    0.30";"    0.08";"";"    12.7";"    13.3";"    11.3";"";"    3.25";"    3.65";"    2.34";"";"     0.1";"     0.1";"     0.1";"";"   0.040";"   0.042";"   0.036";"";"   0.001";"   0.001";"   0.001";"";"      91";"      91";"      92";"";"   0.001";"   0.001";"   0.001";"";"   0.163";"   0.183";"   0.118";""
"Bromfietsen";"2015";"    30.9";"    22.6";"     8.3";"";"    7.70";"    6.08";"    1.63";"";"    7.36";"    5.76";"    1.59";"";"    0.23";"    0.16";"    0.07";"";"    0.09";"    0.06";"    0.02";"";"    0.00";"    0.00";"    0.00";"";"     217";"     151";"      66";"";"    0.00";"    0.00";"    0.00";"";"    0.37";"    0.29";"    0.08";"";"    13.0";"    13.7";"    11.5";"";"    3.10";"    3.48";"    2.21";"";"     0.1";"     0.1";"     0.1";"";"   0.037";"   0.039";"   0.033";"";"   0.001";"   0.001";"   0.001";"";"      91";"      91";"      91";"";"   0.001";"   0.001";"   0.001";"";"   0.155";"   0.175";"   0.111";""
"Bromfietsen";"2016";"    32.4";"    23.6";"     8.7";"";"    7.44";"    5.88";"    1.56";"";"    7.08";"    5.55";"    1.53";"";"    0.22";"    0.16";"    0.07";"";"    0.08";"    0.06";"    0.02";"";"    0.00";"    0.00";"    0.00";"";"     220";"     153";"      67";"";"    0.00";"    0.00";"    0.00";"";"    0.36";"    0.28";"    0.08";"";"    13.4";"    14.1";"    11.9";"";"    2.93";"    3.30";"    2.07";"";"     0.1";"     0.1";"     0.1";"";"   0.035";"   0.036";"   0.031";"";"   0.001";"   0.001";"   0.001";"";"      91";"      91";"      91";"";"   0.001";"   0.001";"   0.001";"";"   0.147";"   0.166";"   0.104";""
"Bromfietsen (benzine)";"1980";"    19.2";"    17.3";"     1.9";"";"   15.98";"   14.60";"    1.37";"";"   11.52";"   10.37";"    1.15";"";"    0.10";"    0.09";"    0.01";"";"    0.08";"    0.07";"    0.01";"";"    0.01";"    0.01";"    0.00";"";"     101";"      91";"      10";"";"    0.00";"    0.00";"    0.00";"";"    0.58";"    0.52";"    0.06";"";"    10.0";"    10.0";"    10.0";"";"    6.00";"    6.00";"    6.00";"";"     0.1";"     0.1";"     0.1";"";"   0.040";"   0.040";"   0.040";"";"   0.008";"   0.008";"   0.008";"";"      53";"      53";"      53";"";"   0.001";"   0.001";"   0.001";"";"   0.300";"   0.300";"   0.300";""
"Bromfietsen (benzine)";"1985";"    17.1";"    15.4";"     1.7";"";"   13.18";"   12.01";"    1.17";"";"   10.26";"    9.23";"    1.03";"";"    0.09";"    0.08";"    0.01";"";"    0.07";"    0.06";"    0.01";"";"    0.01";"    0.01";"    0.00";"";"      90";"      81";"       9";"";"    0.00";"    0.00";"    0.00";"";"    0.51";"    0.46";"    0.05";"";"    10.0";"    10.0";"    10.0";"";"    6.00";"    6.00";"    6.00";"";"     0.1";"     0.1";"     0.1";"";"   0.040";"   0.040";"   0.040";"";"   0.008";"   0.008";"   0.008";"";"      53";"      53";"      53";"";"   0.001";"   0.001";"   0.001";"";"   0.300";"   0.300";"   0.300";""
"Bromfietsen (benzine)";"1990";"    24.7";"    18.1";"     6.6";"";"   25.24";"   18.46";"    6.77";"";"   25.01";"   18.26";"    6.75";"";"    0.19";"    0.14";"    0.05";"";"    0.34";"    0.25";"    0.09";"";"    0.03";"    0.02";"    0.01";"";"     217";"     156";"      61";"";"    0.00";"    0.00";"    0.00";"";"    1.25";"    0.91";"    0.34";"";"    14.5";"    14.5";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.019";"   0.019";"   0.020";"";"     127";"     125";"     132";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen (benzine)";"1991";"    18.9";"    13.7";"     5.2";"";"   19.37";"   14.06";"    5.31";"";"   19.19";"   13.90";"    5.29";"";"    0.14";"    0.11";"    0.04";"";"    0.26";"    0.19";"    0.07";"";"    0.02";"    0.02";"    0.01";"";"     165";"     117";"      47";"";"    0.00";"    0.00";"    0.00";"";"    0.96";"    0.69";"    0.26";"";"    14.4";"    14.5";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.017";"   0.017";"   0.018";"";"     126";"     124";"     131";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen (benzine)";"1992";"    18.9";"    13.6";"     5.3";"";"   19.33";"   13.94";"    5.39";"";"   19.15";"   13.78";"    5.37";"";"    0.14";"    0.11";"    0.04";"";"    0.26";"    0.19";"    0.07";"";"    0.02";"    0.01";"    0.01";"";"     163";"     116";"      48";"";"    0.00";"    0.00";"    0.00";"";"    0.96";"    0.69";"    0.27";"";"    14.4";"    14.5";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.015";"   0.014";"   0.015";"";"     125";"     123";"     130";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen (benzine)";"1993";"    18.9";"    13.5";"     5.4";"";"   19.33";"   13.86";"    5.47";"";"   19.15";"   13.70";"    5.46";"";"    0.14";"    0.10";"    0.04";"";"    0.26";"    0.19";"    0.07";"";"    0.02";"    0.01";"    0.00";"";"     162";"     114";"      48";"";"    0.00";"    0.00";"    0.00";"";"    0.96";"    0.68";"    0.27";"";"    14.4";"    14.4";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.012";"   0.012";"   0.013";"";"     124";"     122";"     129";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen (benzine)";"1994";"    19.3";"    13.8";"     5.5";"";"   19.82";"   14.14";"    5.67";"";"   19.63";"   13.98";"    5.66";"";"    0.14";"    0.11";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     165";"     116";"      49";"";"    0.00";"    0.00";"    0.00";"";"    0.98";"    0.70";"    0.28";"";"    14.4";"    14.4";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.010";"   0.010";"   0.010";"";"     123";"     121";"     128";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen (benzine)";"1995";"    19.1";"    13.6";"     5.5";"";"   19.61";"   13.95";"    5.66";"";"   19.41";"   13.77";"    5.64";"";"    0.14";"    0.10";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     163";"     114";"      49";"";"    0.00";"    0.00";"    0.00";"";"    0.97";"    0.69";"    0.28";"";"    14.4";"    14.4";"    14.3";"";"   14.60";"   14.61";"   14.57";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.199";"";"   0.008";"   0.008";"   0.009";"";"     123";"     121";"     127";"";"   0.001";"   0.001";"   0.001";"";"   0.730";"   0.731";"   0.728";""
"Bromfietsen (benzine)";"1996";"    19.1";"    13.6";"     5.5";"";"   19.61";"   13.93";"    5.68";"";"   19.41";"   13.75";"    5.66";"";"    0.14";"    0.11";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     163";"     114";"      49";"";"    0.00";"    0.00";"    0.00";"";"    0.97";"    0.69";"    0.28";"";"    14.3";"    14.4";"    14.2";"";"   14.55";"   14.58";"   14.49";"";"     0.1";"     0.1";"     0.1";"";"   0.199";"   0.200";"   0.198";"";"   0.006";"   0.006";"   0.007";"";"     123";"     121";"     127";"";"   0.001";"   0.001";"   0.001";"";"   0.728";"   0.729";"   0.725";""
"Bromfietsen (benzine)";"1997";"    19.5";"    13.9";"     5.7";"";"   20.02";"   14.23";"    5.79";"";"   19.83";"   14.06";"    5.77";"";"    0.16";"    0.11";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     168";"     117";"      51";"";"    0.00";"    0.00";"    0.00";"";"    0.99";"    0.70";"    0.29";"";"    14.2";"    14.3";"    14.0";"";"   14.44";"   14.50";"   14.29";"";"     0.1";"     0.1";"     0.1";"";"   0.198";"   0.199";"   0.196";"";"   0.007";"   0.007";"   0.008";"";"     123";"     121";"     126";"";"   0.001";"   0.001";"   0.001";"";"   0.722";"   0.725";"   0.715";""
"Bromfietsen (benzine)";"1998";"    19.5";"    13.9";"     5.6";"";"   19.99";"   14.25";"    5.74";"";"   19.80";"   14.07";"    5.73";"";"    0.16";"    0.12";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     170";"     118";"      51";"";"    0.00";"    0.00";"    0.00";"";"    0.99";"    0.70";"    0.29";"";"    14.1";"    14.2";"    13.9";"";"   14.34";"   14.43";"   14.12";"";"     0.1";"     0.1";"     0.1";"";"   0.197";"   0.199";"   0.195";"";"   0.007";"   0.007";"   0.008";"";"     123";"     121";"     126";"";"   0.001";"   0.001";"   0.001";"";"   0.717";"   0.722";"   0.707";""
"Bromfietsen (benzine)";"1999";"    18.4";"    13.1";"     5.3";"";"   18.44";"   13.20";"    5.24";"";"   18.25";"   13.03";"    5.22";"";"    0.17";"    0.12";"    0.05";"";"    0.25";"    0.18";"    0.07";"";"    0.01";"    0.01";"    0.00";"";"     165";"     115";"      50";"";"    0.00";"    0.00";"    0.00";"";"    0.91";"    0.65";"    0.26";"";"    13.3";"    13.4";"    13.0";"";"   13.17";"   13.31";"   12.84";"";"     0.1";"     0.1";"     0.1";"";"   0.184";"   0.185";"   0.181";"";"   0.006";"   0.006";"   0.007";"";"     119";"     118";"     122";"";"   0.001";"   0.001";"   0.001";"";"   0.659";"   0.666";"   0.642";""
"Bromfietsen (benzine)";"2000";"    17.2";"    12.3";"     4.9";"";"   16.70";"   12.02";"    4.68";"";"   16.50";"   11.84";"    4.66";"";"    0.17";"    0.12";"    0.05";"";"    0.23";"    0.17";"    0.07";"";"    0.01";"    0.01";"    0.00";"";"     160";"     112";"      48";"";"    0.00";"    0.00";"    0.00";"";"    0.83";"    0.59";"    0.23";"";"    12.3";"    12.4";"    12.0";"";"   11.80";"   11.99";"   11.34";"";"     0.1";"     0.1";"     0.1";"";"   0.168";"   0.169";"   0.165";"";"   0.006";"   0.006";"   0.007";"";"     115";"     113";"     118";"       0";"   0.001";"   0.001";"   0.001";"   0.000";"   0.590";"   0.600";"   0.568";"   0.000"
"Bromfietsen (benzine)";"2001";"    16.1";"    11.5";"     4.6";"";"   15.12";"   10.93";"    4.18";"";"   14.92";"   10.76";"    4.16";"";"    0.18";"    0.13";"    0.05";"";"    0.22";"    0.15";"    0.06";"";"    0.01";"    0.00";"    0.00";"";"     156";"     108";"      47";"";"    0.00";"    0.00";"    0.00";"";"    0.75";"    0.54";"    0.21";"";"    11.5";"    11.6";"    11.1";"";"   10.61";"   10.84";"   10.04";"";"     0.1";"     0.1";"     0.1";"";"   0.154";"   0.030";"   0.019";"";"   0.005";"   0.004";"   0.005";"";"     111";"     109";"     114";"";"   0.001";"   0.001";"   0.001";"";"   0.531";"   0.543";"   0.503";""
"Bromfietsen (benzine)";"2002";"    15.2";"    10.9";"     4.4";"";"   13.89";"   10.10";"    3.79";"";"   13.69";"    9.92";"    3.77";"";"    0.18";"    0.13";"    0.05";"";"    0.20";"    0.14";"    0.06";"";"    0.01";"    0.00";"    0.00";"";"     151";"     105";"      46";"";"    0.00";"    0.00";"    0.00";"";"    0.69";"    0.50";"    0.19";"";"    10.9";"    11.0";"    10.5";"";"    9.76";"   10.04";"    9.08";"";"     0.1";"     0.1";"     0.1";"";"   0.142";"   0.144";"   0.139";"";"   0.005";"   0.005";"   0.005";"";"     108";"     106";"     110";"";"   0.001";"   0.001";"   0.001";"";"   0.489";"   0.503";"   0.455";""
"Bromfietsen (benzine)";"2003";"    14.1";"    10.1";"     4.0";"";"   12.49";"    9.14";"    3.35";"";"   12.29";"    8.97";"    3.33";"";"    0.18";"    0.13";"    0.05";"";"    0.18";"    0.13";"    0.05";"";"    0.00";"    0.00";"    0.00";"";"     144";"     100";"      44";"";"    0.00";"    0.00";"    0.00";"";"    0.62";"    0.45";"    0.17";"";"    10.2";"    10.4";"     9.8";"";"    8.92";"    9.25";"    8.12";"";"     0.1";"     0.1";"     0.1";"";"   0.130";"   0.132";"   0.126";"";"   0.002";"   0.002";"   0.002";"";"     105";"     104";"     107";"";"   0.001";"   0.001";"   0.001";"";"   0.447";"   0.464";"   0.407";""
"Bromfietsen (benzine)";"2004";"    12.2";"     8.7";"     3.4";"";"   10.42";"    7.68";"    2.74";"";"   10.23";"    7.51";"    2.72";"";"    0.17";"    0.12";"    0.05";"";"    0.15";"    0.11";"    0.04";"";"    0.00";"    0.00";"    0.00";"";"     127";"      89";"      39";"";"    0.00";"    0.00";"    0.00";"";"    0.51";"    0.38";"    0.14";"";"     9.8";"    10.0";"     9.2";"";"    8.21";"    8.60";"    7.29";"";"     0.1";"     0.1";"     0.1";"";"   0.120";"   0.122";"   0.114";"";"   0.002";"   0.002";"   0.002";"";"     102";"     101";"     104";"";"   0.001";"   0.001";"   0.001";"";"   0.411";"   0.431";"   0.366";""
"Bromfietsen (benzine)";"2005";"    12.3";"     8.8";"     3.5";"";"    9.91";"    7.35";"    2.56";"";"    9.71";"    7.17";"    2.54";"";"    0.18";"    0.12";"    0.05";"";"    0.14";"    0.10";"    0.04";"";"    0.00";"    0.00";"    0.00";"";"     129";"      90";"      39";"";"    0.00";"    0.00";"    0.00";"";"    0.49";"    0.36";"    0.13";"";"     9.5";"     9.8";"     8.9";"";"    7.51";"    7.92";"    6.53";"";"     0.1";"     0.1";"     0.1";"";"   0.109";"   0.112";"   0.104";"";"   0.001";"   0.001";"   0.001";"";"     100";"      99";"     102";"";"   0.001";"   0.001";"   0.001";"";"   0.376";"   0.397";"   0.327";""
"Bromfietsen (benzine)";"2006";"    12.9";"     9.3";"     3.6";"";"    9.45";"    7.06";"    2.39";"";"    9.25";"    6.88";"    2.37";"";"    0.18";"    0.13";"    0.06";"";"    0.13";"    0.10";"    0.04";"";"    0.00";"    0.00";"    0.00";"";"     134";"      93";"      41";"";"    0.00";"    0.00";"    0.00";"";"    0.46";"    0.34";"    0.12";"";"     9.5";"     9.8";"     8.8";"";"    6.76";"    7.20";"    5.75";"";"     0.1";"     0.1";"     0.1";"";"   0.098";"   0.100";"   0.092";"";"   0.001";"   0.001";"   0.001";"";"      98";"      97";"      99";"";"   0.001";"   0.001";"   0.001";"";"   0.339";"   0.361";"   0.288";""
"Bromfietsen (benzine)";"2007";"    17.1";"    12.5";"     4.6";"";"   10.47";"    7.95";"    2.51";"";"   10.22";"    7.73";"    2.49";"";"    0.22";"    0.15";"    0.06";"";"    0.14";"    0.10";"    0.04";"";"    0.00";"    0.00";"    0.00";"";"     166";"     116";"      50";"";"    0.00";"    0.00";"    0.00";"";"    0.51";"    0.39";"    0.12";"";"     9.9";"    10.3";"     9.1";"";"    5.94";"    6.36";"    4.92";"";"     0.1";"     0.1";"     0.1";"";"   0.084";"   0.086";"   0.079";"";"   0.001";"   0.001";"   0.001";"";"      96";"      96";"      98";"";"   0.001";"   0.001";"   0.001";"";"   0.298";"   0.319";"   0.247";""
"Bromfietsen (benzine)";"2008";"    20.0";"    14.7";"     5.3";"";"   10.17";"    7.79";"    2.37";"";"    9.89";"    7.54";"    2.35";"";"    0.23";"    0.16";"    0.07";"";"    0.14";"    0.10";"    0.04";"";"    0.00";"    0.00";"    0.00";"";"     181";"     127";"      54";"";"    0.00";"    0.00";"    0.00";"";"    0.50";"    0.38";"    0.12";"";"    10.5";"    10.9";"     9.5";"";"    5.18";"    5.60";"    4.17";"";"     0.1";"     0.1";"     0.1";"";"   0.072";"   0.073";"   0.067";"";"   0.001";"   0.001";"   0.001";"";"      95";"      94";"      96";"";"   0.001";"   0.001";"   0.001";"";"   0.260";"   0.281";"   0.209";""
"Bromfietsen (benzine)";"2009";"    23.1";"    17.0";"     6.1";"";"    9.67";"    7.48";"    2.19";"";"    9.37";"    7.21";"    2.16";"";"    0.24";"    0.17";"    0.07";"";"    0.13";"    0.09";"    0.03";"";"    0.00";"    0.00";"    0.00";"";"     195";"     137";"      58";"";"    0.00";"    0.00";"    0.00";"";"    0.47";"    0.36";"    0.11";"";"    11.1";"    11.6";"    10.0";"";"    4.51";"    4.92";"    3.53";"";"     0.1";"     0.1";"     0.1";"";"   0.061";"   0.063";"   0.057";"";"   0.001";"   0.001";"   0.001";"";"      94";"      93";"      95";"";"   0.001";"   0.001";"   0.001";"";"   0.226";"   0.247";"   0.177";""
"Bromfietsen (benzine)";"2010";"    26.1";"    19.2";"     6.9";"";"    9.43";"    7.32";"    2.10";"";"    9.12";"    7.04";"    2.07";"";"    0.24";"    0.17";"    0.07";"";"    0.12";"    0.09";"    0.03";"";"    0.00";"    0.00";"    0.00";"";"     207";"     145";"      62";"";"    0.00";"    0.00";"    0.00";"";"    0.46";"    0.35";"    0.10";"";"    11.8";"    12.3";"    10.5";"";"    4.11";"    4.52";"    3.15";"";"     0.1";"     0.1";"     0.1";"";"   0.054";"   0.056";"   0.050";"";"   0.001";"   0.001";"   0.001";"";"      93";"      93";"      94";"";"   0.001";"   0.001";"   0.001";"";"   0.206";"   0.227";"   0.158";""
"Bromfietsen (benzine)";"2011";"    28.0";"    20.6";"     7.4";"";"    8.84";"    6.90";"    1.94";"";"    8.51";"    6.60";"    1.91";"";"    0.24";"    0.17";"    0.07";"";"    0.11";"    0.08";"    0.03";"";"    0.00";"    0.00";"    0.00";"";"     211";"     148";"      63";"";"    0.00";"    0.00";"    0.00";"";"    0.43";"    0.33";"    0.10";"";"    12.3";"    12.9";"    11.0";"";"    3.75";"    4.15";"    2.81";"";"     0.1";"     0.1";"     0.1";"";"   0.048";"   0.050";"   0.044";"";"   0.001";"   0.001";"   0.001";"";"      93";"      93";"      93";"";"   0.001";"   0.001";"   0.001";"";"   0.188";"   0.208";"   0.141";""
"Bromfietsen (benzine)";"2012";"    28.4";"    20.8";"     7.6";"";"    8.56";"    6.71";"    1.85";"";"    8.22";"    6.40";"    1.82";"";"    0.24";"    0.17";"    0.07";"";"    0.10";"    0.08";"    0.03";"";"    0.00";"    0.00";"    0.00";"";"     212";"     148";"      64";"";"    0.00";"    0.00";"    0.00";"";"    0.41";"    0.32";"    0.09";"";"    12.3";"    12.9";"    11.0";"";"    3.58";"    3.98";"    2.64";"";"     0.1";"     0.1";"     0.1";"";"   0.045";"   0.047";"   0.041";"";"   0.001";"   0.001";"   0.001";"";"      92";"      92";"      93";"";"   0.001";"   0.001";"   0.001";"";"   0.179";"   0.200";"   0.132";""
"Bromfietsen (benzine)";"2013";"    28.5";"    20.9";"     7.6";"";"    8.30";"    6.52";"    1.78";"";"    7.95";"    6.21";"    1.74";"";"    0.24";"    0.16";"    0.07";"";"    0.10";"    0.07";"    0.03";"";"    0.00";"    0.00";"    0.00";"";"     212";"     148";"      64";"";"    0.00";"    0.00";"    0.00";"";"    0.40";"    0.31";"    0.09";"";"    12.3";"    12.9";"    10.9";"";"    3.44";"    3.84";"    2.50";"";"     0.1";"     0.1";"     0.1";"";"   0.043";"   0.045";"   0.038";"";"   0.001";"   0.001";"   0.001";"";"      92";"      91";"      92";"";"   0.001";"   0.001";"   0.001";"";"   0.173";"   0.193";"   0.126";""
"Bromfietsen (benzine)";"2014";"    29.7";"    21.8";"     8.0";"";"    7.97";"    6.27";"    1.70";"";"    7.62";"    5.96";"    1.66";"";"    0.23";"    0.16";"    0.07";"";"    0.09";"    0.07";"    0.03";"";"    0.00";"    0.00";"    0.00";"";"     214";"     149";"      65";"";"    0.00";"    0.00";"    0.00";"";"    0.38";"    0.30";"    0.08";"";"    12.7";"    13.3";"    11.3";"";"    3.25";"    3.65";"    2.34";"";"     0.1";"     0.1";"     0.1";"";"   0.040";"   0.042";"   0.036";"";"   0.001";"   0.001";"   0.001";"";"      91";"      91";"      92";"";"   0.001";"   0.001";"   0.001";"";"   0.163";"   0.183";"   0.118";""
"Bromfietsen (benzine)";"2015";"    30.9";"    22.6";"     8.3";"";"    7.70";"    6.08";"    1.63";"";"    7.36";"    5.76";"    1.59";"";"    0.23";"    0.16";"    0.07";"";"    0.09";"    0.06";"    0.02";"";"    0.00";"    0.00";"    0.00";"";"     217";"     151";"      66";"";"    0.00";"    0.00";"    0.00";"";"    0.37";"    0.29";"    0.08";"";"    13.0";"    13.7";"    11.5";"";"    3.10";"    3.48";"    2.21";"";"     0.1";"     0.1";"     0.1";"";"   0.037";"   0.039";"   0.033";"";"   0.001";"   0.001";"   0.001";"";"      91";"      91";"      91";"";"   0.001";"   0.001";"   0.001";"";"   0.155";"   0.175";"   0.111";""
"Bromfietsen (benzine)";"2016";"    32.4";"    23.6";"     8.7";"";"    7.44";"    5.88";"    1.56";"";"    7.08";"    5.55";"    1.53";"";"    0.22";"    0.16";"    0.07";"";"    0.08";"    0.06";"    0.02";"";"    0.00";"    0.00";"    0.00";"";"     220";"     153";"      67";"";"    0.00";"    0.00";"    0.00";"";"    0.36";"    0.28";"    0.08";"";"    13.4";"    14.1";"    11.9";"";"    2.93";"    3.30";"    2.07";"";"     0.1";"     0.1";"     0.1";"";"   0.035";"   0.036";"   0.031";"";"   0.001";"   0.001";"   0.001";"";"      91";"      91";"      91";"";"   0.001";"   0.001";"   0.001";"";"   0.147";"   0.166";"   0.104";""
